user_id,feature,adoption_level,last_used_date
USR-10000,Multi-moneda,activated,2025-09-09
USR-10001,Gestión de contactos,activated,2026-01-27
USR-10001,Reportes financieros,used_1x,2026-01-09
USR-10001,Facturación electrónica,activated,2026-02-17
USR-10002,Gestión de contactos,power_user,2026-02-14
USR-10003,Nómina,power_user,2026-02-19
USR-10003,Facturación electrónica,used_10x,2026-02-24
USR-10003,Punto de venta,activated,2026-02-23
USR-10004,Punto de venta,power_user,2026-02-05
USR-10004,Inventario,used_5x,2026-01-10
USR-10004,Gestión de contactos,used_5x,2026-02-18
USR-10005,Punto de venta,used_5x,2026-02-12
USR-10006,Punto de venta,used_1x,2026-01-18
USR-10006,Centro de costos,used_1x,2025-12-26
USR-10006,Reportes financieros,power_user,2025-12-20
USR-10007,Cotizaciones,power_user,2025-08-31
USR-10007,Nómina,activated,2025-09-02
USR-10007,Multi-moneda,used_10x,2025-07-29
USR-10008,Cotizaciones,power_user,2026-02-24
USR-10008,Inventario,activated,2026-02-10
USR-10009,Inventario,used_10x,2026-01-10
USR-10009,Conciliación bancaria,power_user,2026-01-15
USR-10009,Multi-moneda,used_1x,2025-12-09
USR-10010,Multi-moneda,activated,2026-02-23
USR-10011,Reportes financieros,used_5x,2025-09-16
USR-10011,Centro de costos,used_1x,2025-09-13
USR-10011,Cotizaciones,used_5x,2025-08-30
USR-10011,Nómina,used_10x,2025-08-30
USR-10011,Multi-moneda,activated,2025-08-16
USR-10012,Facturación electrónica,used_10x,2025-12-02
USR-10012,Punto de venta,used_1x,2025-12-15
USR-10012,Nómina,used_5x,2025-12-11
USR-10013,Punto de venta,used_1x,2026-01-10
USR-10013,Nómina,activated,2026-01-05
USR-10013,Centro de costos,power_user,2025-12-01
USR-10013,Conciliación bancaria,activated,2026-01-10
USR-10013,Multi-moneda,used_1x,2026-01-19
USR-10013,Inventario,activated,2025-12-07
USR-10014,Centro de costos,power_user,2025-11-08
USR-10014,Nómina,used_10x,2025-09-25
USR-10014,Facturación electrónica,activated,2025-10-11
USR-10014,Conciliación bancaria,used_1x,2025-11-04
USR-10014,Reportes financieros,used_1x,2025-09-13
USR-10015,Centro de costos,activated,2026-02-23
USR-10015,Gestión de contactos,used_5x,2026-02-27
USR-10015,Inventario,activated,2026-02-25
USR-10016,Inventario,used_5x,2026-02-11
USR-10016,Nómina,used_1x,2026-02-22
USR-10017,Reportes financieros,activated,2025-11-26
USR-10017,Punto de venta,activated,2025-11-05
USR-10017,Conciliación bancaria,power_user,2025-12-14
USR-10017,Nómina,activated,2025-11-14
USR-10018,Conciliación bancaria,activated,2026-01-07
USR-10018,Nómina,used_1x,2025-12-04
USR-10018,Punto de venta,used_5x,2026-01-05
USR-10019,Nómina,activated,2025-10-03
USR-10020,Facturación electrónica,used_1x,2025-12-18
USR-10020,Nómina,used_5x,2025-12-26
USR-10020,Cotizaciones,activated,2026-01-07
USR-10020,Gestión de contactos,used_5x,2026-01-06
USR-10020,Inventario,used_5x,2025-12-17
USR-10021,Inventario,activated,2025-12-02
USR-10021,Cotizaciones,used_5x,2025-12-09
USR-10021,Multi-moneda,used_10x,2026-01-12
USR-10021,Facturación electrónica,used_10x,2025-12-26
USR-10021,Gestión de contactos,used_5x,2026-01-15
USR-10021,Conciliación bancaria,power_user,2026-01-11
USR-10021,Centro de costos,activated,2026-01-07
USR-10022,Inventario,activated,2026-02-26
USR-10022,Nómina,power_user,2026-01-27
USR-10022,Cotizaciones,used_1x,2026-02-24
USR-10022,Gestión de contactos,used_10x,2026-01-19
USR-10022,Facturación electrónica,activated,2026-01-17
USR-10023,Centro de costos,activated,2026-01-30
USR-10023,Conciliación bancaria,activated,2026-01-30
USR-10024,Cotizaciones,used_5x,2026-01-18
USR-10024,Punto de venta,used_1x,2026-02-21
USR-10025,Conciliación bancaria,used_5x,2025-09-24
USR-10025,Multi-moneda,activated,2025-09-15
USR-10025,Nómina,used_5x,2025-09-13
USR-10025,Centro de costos,used_5x,2025-10-16
USR-10025,Inventario,activated,2025-09-25
USR-10025,Reportes financieros,used_1x,2025-09-24
USR-10025,Cotizaciones,used_10x,2025-09-08
USR-10025,Punto de venta,activated,2025-09-16
USR-10025,Gestión de contactos,used_10x,2025-09-27
USR-10026,Reportes financieros,used_5x,2025-08-29
USR-10026,Centro de costos,used_10x,2025-10-11
USR-10027,Multi-moneda,used_10x,2025-09-12
USR-10027,Nómina,activated,2025-09-20
USR-10028,Inventario,used_5x,2026-01-22
USR-10029,Multi-moneda,used_5x,2025-11-26
USR-10029,Conciliación bancaria,used_1x,2025-12-22
USR-10029,Gestión de contactos,used_1x,2025-12-21
USR-10030,Gestión de contactos,used_1x,2026-02-12
USR-10030,Punto de venta,activated,2026-01-18
USR-10030,Reportes financieros,activated,2026-02-22
USR-10030,Centro de costos,activated,2026-01-22
USR-10030,Facturación electrónica,activated,2026-02-04
USR-10030,Inventario,used_1x,2026-02-07
USR-10030,Nómina,used_1x,2026-01-22
USR-10031,Facturación electrónica,used_1x,2026-03-01
USR-10031,Conciliación bancaria,used_1x,2026-02-28
USR-10032,Inventario,used_1x,2025-11-13
USR-10032,Centro de costos,used_5x,2025-10-13
USR-10033,Gestión de contactos,used_10x,2025-08-06
USR-10034,Centro de costos,activated,2026-02-03
USR-10034,Facturación electrónica,activated,2026-02-14
USR-10034,Conciliación bancaria,used_5x,2026-02-17
USR-10034,Nómina,power_user,2026-02-13
USR-10034,Gestión de contactos,used_5x,2026-02-23
USR-10034,Multi-moneda,used_1x,2026-02-18
USR-10034,Reportes financieros,used_5x,2026-02-22
USR-10034,Punto de venta,used_5x,2026-02-23
USR-10034,Inventario,used_10x,2026-03-01
USR-10035,Multi-moneda,used_10x,2026-01-18
USR-10035,Punto de venta,used_5x,2026-01-15
USR-10036,Centro de costos,used_1x,2025-10-24
USR-10036,Conciliación bancaria,power_user,2025-11-06
USR-10036,Facturación electrónica,used_10x,2025-10-26
USR-10036,Cotizaciones,used_5x,2025-10-24
USR-10037,Multi-moneda,activated,2026-01-30
USR-10037,Reportes financieros,used_1x,2026-01-22
USR-10037,Conciliación bancaria,used_1x,2026-01-13
USR-10037,Cotizaciones,used_5x,2025-12-26
USR-10037,Nómina,activated,2026-01-28
USR-10038,Centro de costos,used_5x,2025-10-06
USR-10038,Punto de venta,used_5x,2025-09-20
USR-10039,Cotizaciones,used_1x,2026-02-23
USR-10039,Punto de venta,used_1x,2026-02-15
USR-10039,Reportes financieros,power_user,2026-02-23
USR-10040,Nómina,activated,2025-10-10
USR-10040,Centro de costos,power_user,2025-10-06
USR-10040,Inventario,used_5x,2025-09-09
USR-10040,Multi-moneda,used_10x,2025-09-21
USR-10040,Cotizaciones,activated,2025-09-14
USR-10041,Gestión de contactos,used_1x,2025-08-02
USR-10041,Nómina,activated,2025-07-15
USR-10041,Facturación electrónica,activated,2025-09-05
USR-10041,Reportes financieros,used_1x,2025-09-02
USR-10042,Nómina,used_5x,2026-02-11
USR-10042,Punto de venta,used_5x,2026-02-10
USR-10042,Multi-moneda,used_1x,2026-01-20
USR-10042,Reportes financieros,power_user,2026-01-11
USR-10043,Punto de venta,used_1x,2026-01-13
USR-10043,Multi-moneda,used_1x,2025-12-08
USR-10043,Reportes financieros,activated,2026-01-20
USR-10043,Conciliación bancaria,activated,2026-01-30
USR-10043,Facturación electrónica,used_1x,2026-01-18
