ticket_id,user_id,category,priority,channel,created_date,resolved_date,status,resolution_hours,csat_score
TKT-20000,USR-11044,Feature_Request,Medium,Phone,2025-09-12,2025-09-13,Closed,31,4
TKT-20001,USR-11355,Onboarding,Critical,Email,2025-11-14,2025-11-16,Closed,55,4
TKT-20002,USR-11195,Bug,High,WhatsApp,2026-01-05,2026-01-14,Resolved,223,1
TKT-20003,USR-11057,Feature_Request,High,Chat,2026-01-15,,Open,,
TKT-20004,USR-11513,Onboarding,Critical,Phone,2025-12-13,,In_Progress,,
TKT-20005,USR-10380,Billing,Medium,Phone,2025-11-21,2025-11-26,Resolved,127,3
TKT-20006,USR-11379,Feature_Request,Medium,WhatsApp,2025-09-05,2025-09-12,Closed,182,5
TKT-20007,USR-10958,Performance,Critical,Email,2026-01-20,2026-01-21,Resolved,27,4
TKT-20008,USR-11561,Billing,High,Chat,2026-02-04,,Open,,
TKT-20009,USR-11895,Feature_Request,Low,Chat,2026-02-19,2026-02-26,Closed,173,2
TKT-20010,USR-10604,Onboarding,Low,Chat,2025-09-10,2025-09-15,Resolved,128,4
TKT-20011,USR-10194,Billing,Critical,WhatsApp,2026-01-02,2026-01-05,Resolved,80,2
TKT-20012,USR-11947,Feature_Request,Low,WhatsApp,2026-01-23,2026-01-25,Closed,49,3
TKT-20013,USR-11424,Feature_Request,Medium,Chat,2026-02-13,,Open,,
TKT-20014,USR-10240,Integration,High,Phone,2025-07-08,,In_Progress,,
TKT-20015,USR-10948,Billing,Medium,Chat,2026-02-27,,In_Progress,,
TKT-20016,USR-10949,Bug,Low,WhatsApp,2025-11-08,2025-11-18,Resolved,261,4
TKT-20017,USR-11827,Feature_Request,Medium,Chat,2026-02-27,,In_Progress,,
TKT-20018,USR-10534,Bug,Medium,Email,2026-02-03,2026-02-10,Resolved,176,4
TKT-20019,USR-10827,Integration,Low,Chat,2026-01-20,2026-01-20,Resolved,21,4
TKT-20020,USR-10392,Billing,Low,Email,2026-02-01,2026-02-13,Closed,290,3
TKT-20021,USR-11667,Feature_Request,Critical,Chat,2025-12-09,2025-12-12,Closed,77,2
TKT-20022,USR-10949,Feature_Request,Medium,Phone,2025-11-20,,Open,,
TKT-20023,USR-10495,Onboarding,Low,WhatsApp,2025-09-01,2025-09-06,Closed,129,5
TKT-20024,USR-10058,Performance,Medium,Email,2026-01-22,2026-01-24,Resolved,54,5
