user_id,country,plan,signup_date,source,mrr_usd,churn_risk_score,features_count
USR-10000,México,Free,2025-08-27,Paid,0,0.75,1
USR-10001,Colombia,Pyme,2025-12-31,Referral,35,0.24,3
USR-10002,Colombia,Free,2026-02-02,Organic,0,0.79,1
USR-10003,Colombia,Free,2026-02-12,Partner_Accountant,0,0.61,3
USR-10004,Colombia,Free,2025-12-27,Partner_Accountant,0,0.45,3
USR-10005,República Dominicana,Free,2026-01-23,Partner_Accountant,0,0.92,1
USR-10006,Colombia,Pyme,2025-12-12,Partner_Accountant,29,0.24,3
USR-10007,México,Free,2025-07-29,Organic,0,0.45,3
USR-10008,República Dominicana,Free,2026-01-09,Partner_Accountant,0,0.48,2
USR-10009,República Dominicana,Pyme,2025-12-08,Organic,24,0.18,3
USR-10010,Colombia,Free,2026-01-23,Social,0,0.93,1
USR-10011,Costa Rica,Plus,2025-08-02,Referral,145,0.24,5
USR-10012,Colombia,Free,2025-11-28,Referral,0,0.66,3
USR-10013,México,Pro,2025-11-25,Partner_Accountant,50,0.16,6
USR-10014,Colombia,Pyme,2025-09-10,Paid,29,0.26,5
USR-10015,Colombia,Free,2026-02-23,Paid,0,0.38,3
USR-10016,Colombia,Pyme,2026-02-04,Referral,31,0.38,2
USR-10017,Colombia,Pyme,2025-10-16,Partner_Accountant,33,0.12,4
USR-10018,México,Pyme,2025-11-15,Organic,21,0.14,3
USR-10019,República Dominicana,Free,2025-09-15,Partner_Accountant,0,0.86,1
USR-10020,México,Pro,2025-12-10,Organic,67,0.06,5
USR-10021,Colombia,Pro,2025-11-17,Social,58,0.27,7
USR-10022,Costa Rica,Pro,2026-01-05,Organic,61,0.26,5
USR-10023,México,Free,2026-01-14,Organic,0,0.68,2
USR-10024,Colombia,Pyme,2026-01-18,Paid,25,0.28,2
USR-10025,República Dominicana,Plus,2025-08-20,Partner_Accountant,83,0.13,9
USR-10026,República Dominicana,Pyme,2025-08-24,Paid,31,0.4,2
USR-10027,Colombia,Free,2025-08-07,Partner_Accountant,0,0.48,2
USR-10028,México,Free,2025-12-24,Organic,0,0.88,1
USR-10029,Colombia,Free,2025-10-25,Partner_Accountant,0,0.55,3
USR-10030,Colombia,Pro,2026-01-09,Referral,75,0.12,7
USR-10031,Costa Rica,Free,2026-02-28,Partner_Accountant,0,0.42,2
USR-10032,México,Free,2025-10-08,Referral,0,0.31,2
USR-10033,México,Free,2025-07-13,Referral,0,0.71,1
USR-10034,Colombia,Plus,2026-01-30,Paid,77,0.1,9
USR-10035,Colombia,Pyme,2025-11-25,Social,27,0.23,2
USR-10036,Colombia,Plus,2025-09-27,Partner_Accountant,122,0.16,4
USR-10037,Colombia,Pyme,2025-12-05,Partner_Accountant,32,0.26,5
USR-10038,Colombia,Pyme,2025-09-05,Paid,25,0.23,2
USR-10039,República Dominicana,Pyme,2026-01-19,Referral,15,0.22,3
USR-10040,Colombia,Pro,2025-09-03,Paid,42,0.23,5
USR-10041,Colombia,Pro,2025-07-12,Organic,70,0.12,4
USR-10042,Colombia,Pyme,2025-12-23,Referral,16,0.24,4
USR-10043,Costa Rica,Plus,2025-12-06,Paid,87,0.05,10
USR-10044,México,Plus,2025-07-19,Partner_Accountant,114,0.18,8
USR-10045,Costa Rica,Pyme,2025-08-14,Partner_Accountant,30,0.17,4
USR-10046,República Dominicana,Pyme,2025-07-10,Partner_Accountant,29,0.18,4
USR-10047,República Dominicana,Pyme,2025-08-22,Partner_Accountant,23,0.29,4
USR-10048,Panamá,Plus,2025-07-31,Referral,138,0.15,9
USR-10049,México,Free,2025-09-27,Referral,0,0.65,2
USR-10050,Costa Rica,Pyme,2025-10-30,Paid,27,0.27,5
USR-10051,Panamá,Free,2025-12-14,Partner_Accountant,0,0.65,2
